,root,triad,bass,fingering
2074,G,m7,none,"[(-1, -1), (-1, -1), (3, 3), (3, 3), (-1, -1), (3, 2)]"
2075,G,m7,none,"[(-1, -1), (3, 3), (3, 3), (3, 3), (-1, -1), (3, 2)]"
2076,G,m7,none,"[(3, 1), (3, 1), (3, 1), (3, 1), (5, 3), (3, 1)]"
2077,G,m7,none,"[(-1, -1), (11, 4), (10, 3), (8, 1), (10, 2), (-1, -1)]"
2078,G,m7,none,"[(1, 1), (3, 4), (3, 3), (-1, -1), (-1, -1), (3, 2)]"
2079,G,dim,none,"[(3, 2), (2, 1), (3, 3), (5, 4), (-1, -1), (-1, -1)]"
2080,G,dim,none,"[(6, 3), (8, 4), (6, 2), (5, 1), (-1, -1), (-1, -1)]"
2081,G,dim,none,"[(-1, -1), (11, 3), (0, 4), (11, 2), (10, 1), (-1, -1)]"
2082,G,dim,none,"[(-1, -1), (8, 4), (6, 1), (8, 3), (-1, -1), (-1, -1)]"
2083,G,dim,none,"[(3, 3), (2, 1), (3, 2), (-1, -1), (-1, -1), (-1, -1)]"
2084,G,dim,none,"[(-1, -1), (2, 1), (3, 2), (5, 4), (-1, -1), (-1, -1)]"
2085,G,dim,none,"[(-1, -1), (-1, -1), (3, 1), (5, 3), (4, 2), (-1, -1)]"
2086,G,dim,none,"[(-1, -1), (-1, -1), (-1, -1), (5, 2), (4, 1), (6, 3)]"
2087,G,dim,none,"[(6, 1), (8, 3), (6, 1), (-1, -1), (-1, -1), (-1, -1)]"
2088,G,dim,none,"[(-1, -1), (-1, -1), (6, 1), (8, 2), (10, 4), (-1, -1)]"
2089,G,dim,none,"[(-1, -1), (-1, -1), (-1, -1), (8, 1), (10, 3), (9, 2)]"
2090,G,dim,none,"[(9, 1), (11, 2), (0, 3), (-1, -1), (-1, -1), (-1, -1)]"
2091,G,dim,none,"[(-1, -1), (11, 2), (0, 3), (11, 1), (-1, -1), (-1, -1)]"
2092,G,dim,none,"[(-1, -1), (-1, -1), (0, 2), (11, 1), (1, 3), (-1, -1)]"
2093,G,dim,none,"[(-1, -1), (-1, -1), (-1, -1), (11, 1), (1, 2), (3, 4)]"
2094,G,6,none,"[(0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (3, 1)]"
2095,G,6,none,"[(3, 1), (5, 4), (4, 2), (5, 3), (-1, -1), (3, 1)]"
2096,G,6,none,"[(-1, -1), (8, 1), (9, 3), (9, 2), (10, 4), (-1, -1)]"
2097,G,6,none,"[(0, 0), (3, 1), (4, 2), (-1, -1), (-1, -1), (-1, -1)]"
2098,G,6,none,"[(0, 0), (0, 0), (4, 2), (5, 4), (5, 3), (3, 1)]"
2099,G,6,none,"[(0, 0), (3, 1), (4, 2), (5, 3), (-1, -1), (-1, -1)]"
2100,G,6,none,"[(0, 0), (3, 3), (0, 0), (0, 0), (-1, -1), (-1, -1)]"
2101,G,6,none,"[(0, 0), (8, 1), (0, 0), (9, 2), (10, 3), (-1, -1)]"
2102,G,6,none,"[(3, 1), (5, 3), (4, 2), (5, 3), (-1, -1), (-1, -1)]"
2103,G,6,none,"[(0, 0), (0, 0), (0, 0), (-1, -1), (-1, -1), (-1, -1)]"
2104,G,6,none,"[(0, 0), (3, 3), (0, 0), (0, 0), (2, 1), (3, 2)]"
2105,G,6,none,"[(-1, -1), (3, 3), (4, 4), (2, 1), (-1, -1), (3, 2)]"
2106,G,6,none,"[(0, 0), (5, 4), (4, 2), (5, 3), (-1, -1), (-1, -1)]"
2107,G,6,none,"[(0, 0), (3, 2), (4, 3), (5, 4), (-1, -1), (3, 1)]"
2108,G,6,none,"[(0, 0), (0, 0), (4, 1), (5, 3), (5, 2), (-1, -1)]"
2109,G,6,none,"[(-1, -1), (-1, -1), (-1, -1), (-1, -1), (7, 4), (3, 1)]"
2110,G,6,none,"[(0, 0), (0, 0), (4, 1), (5, 3), (5, 2), (0, 0)]"
2111,G,6,none,"[(0, 0), (3, 4), (0, 0), (0, 0), (-1, -1), (3, 3)]"
2112,G,7(#5),none,"[(3, 1), (4, 3), (4, 2), (3, 1), (-1, -1), (3, 1)]"
2113,G,7(#5),none,"[(-1, -1), (8, 1), (8, 1), (9, 2), (8, 1), (-1, -1)]"
2114,G,7(#5),none,"[(11, 2), (0, 3), (10, 1), (1, 4), (10, 1), (-1, -1)]"
2115,G,7(#5),none,"[(-1, -1), (4, 4), (4, 3), (3, 2), (-1, -1), (3, 1)]"
2116,G,7sus4,none,"[(-1, -1), (1, 1), (0, 0), (3, 4), (-1, -1), (3, 3)]"
2117,G,7sus4,none,"[(3, 1), (3, 1), (5, 4), (3, 1), (5, 3), (3, 1)]"
2118,G,7sus4,none,"[(-1, -1), (8, 1), (10, 4), (10, 3), (10, 2), (-1, -1)]"
2119,G,maj7,none,"[(2, 1), (3, 2), (4, 3), (5, 4), (-1, -1), (-1, -1)]"
2120,G,maj7,none,"[(-1, -1), (3, 1), (4, 3), (4, 2), (5, 4), (3, 1)]"
2121,G,maj7,none,"[(7, 1), (7, 1), (7, 1), (9, 3), (10, 4), (-1, -1)]"
2122,G,maj7,none,"[(-1, -1), (3, 2), (4, 4), (4, 3), (-1, -1), (3, 1)]"
2123,G,maj7,none,"[(-1, -1), (0, 4), (11, 2), (0, 3), (10, 1), (-1, -1)]"
2124,G,maj7,none,"[(2, 2), (3, 3), (0, 0), (0, 0), (2, 1), (-1, -1)]"
2125,G,maj7,none,"[(2, 2), (0, 0), (0, 0), (0, 0), (-1, -1), (3, 3)]"
2126,G,maj7,none,"[(2, 2), (3, 3), (0, 0), (-1, -1), (2, 1), (-1, -1)]"
2127,G,maj7,none,"[(10, 3), (8, 1), (11, 4), (9, 2), (-1, -1), (-1, -1)]"
2128,G,maj7,none,"[(10, 1), (0, 4), (11, 2), (0, 3), (10, 1), (-1, -1)]"
2129,G,maj7,none,"[(7, 4), (7, 4), (7, 4), (5, 1), (-1, -1), (-1, -1)]"
2130,G,maj7,none,"[(-1, -1), (7, 4), (7, 3), (5, 1), (-1, -1), (7, 2)]"
2131,G,maj7,none,"[(2, 2), (0, 0), (0, 0), (0, 0), (-1, -1), (-1, -1)]"
2132,G,maj7,none,"[(3, 1), (0, 0), (0, 0), (4, 2), (5, 3), (-1, -1)]"
2133,G,maj7,none,"[(2, 3), (0, 0), (0, 0), (0, 0), (2, 2), (2, 1)]"
2134,G,maj7,none,"[(-1, -1), (-1, -1), (0, 0), (4, 3), (2, 1), (2, 1)]"
2135,G,maj7,none,"[(-1, -1), (8, 1), (11, 4), (9, 2), (-1, -1), (10, 3)]"
2136,G,maj7,none,"[(-1, -1), (0, 1), (0, 1), (0, 1), (-1, -1), (2, 3)]"
2137,G,maj7,none,"[(2, 1), (0, 0), (0, 0), (4, 4), (2, 2), (3, 3)]"
2138,G,maj7,none,"[(-1, -1), (7, 4), (7, 3), (5, 1), (5, 1), (-1, -1)]"
2139,G,maj7,none,"[(2, 1), (0, 0), (0, 0), (0, 0), (2, 2), (3, 3)]"
2140,G,5,none,"[(-1, -1), (-1, -1), (-1, -1), (-1, -1), (5, 3), (3, 1)]"
2141,G,5,none,"[(-1, -1), (-1, -1), (0, 1), (0, 1), (-1, -1), (-1, -1)]"
2142,G,5,none,"[(-1, -1), (-1, -1), (-1, -1), (5, 4), (5, 3), (3, 1)]"
2143,G,5,none,"[(-1, -1), (-1, -1), (0, 4), (0, 3), (10, 1), (-1, -1)]"
2144,G,5,none,"[(-1, -1), (-1, -1), (-1, -1), (5, 1), (5, 1), (-1, -1)]"
2145,G,5,none,"[(-1, -1), (3, 3), (0, 0), (0, 0), (-1, -1), (3, 2)]"
2146,G,5,none,"[(-1, -1), (-1, -1), (0, 0), (0, 0), (-1, -1), (3, 2)]"
2147,G,5,none,"[(-1, -1), (-1, -1), (7, 3), (5, 1), (-1, -1), (-1, -1)]"
2148,G,5,none,"[(-1, -1), (-1, -1), (-1, -1), (0, 4), (10, 1), (-1, -1)]"
2149,G,5,none,"[(-1, -1), (8, 4), (7, 3), (5, 1), (-1, -1), (-1, -1)]"
2150,G,5,none,"[(10, 4), (8, 2), (7, 1), (-1, -1), (-1, -1), (-1, -1)]"
2151,G,7(#11),none,"[(-1, -1), (2, 1), (4, 4), (3, 3), (-1, -1), (3, 2)]"
2152,G,7(#11),none,"[(-1, -1), (-1, -1), (10, 2), (11, 3), (10, 1), (-1, -1)]"
2153,G,m6,none,"[(3, 1), (5, 4), (3, 1), (5, 3), (-1, -1), (3, 1)]"
2154,G,m6,none,"[(-1, -1), (8, 1), (9, 2), (8, 1), (10, 3), (-1, -1)]"
2155,G,m6,none,"[(0, 4), (11, 2), (0, 3), (-1, -1), (10, 1), (-1, -1)]"
2156,G,m6,none,"[(0, 0), (3, 4), (3, 3), (0, 0), (-1, -1), (3, 2)]"
2157,G,7(b9),none,"[(-1, -1), (0, 0), (1, 1), (3, 4), (2, 2), (3, 3)]"
2158,G,7(b9),none,"[(4, 3), (3, 1), (4, 2), (3, 1), (-1, -1), (3, 1)]"
2159,G,7(b9),none,"[(-1, -1), (9, 1), (10, 3), (9, 1), (10, 2), (-1, -1)]"
2160,G,7(b9),none,"[(-1, -1), (3, 4), (1, 1), (3, 3), (2, 2), (-1, -1)]"
